,Question,Answer
347,"""No. You decided to go into the out-of-work actor business. Now that wasn't easy, but you did it! And I'd like to believe that when the right woman comes along, you will have the courage and the guts to say """"No thanks, I'm married.""""""",You really think so?
348,Yeah. I really do.,"Thanks, Chandler."
349,,What's the matter with you?!
350,We're sorry.,Ma! What're you doing here?
351,I came to give you this and this.,Oww! Big ring!
352,"Why did you have to fill your father's head with all that garbage about making things right? Things were fine the way they were! There's chicken in there, put it away. For God's sake, Joey, really.","Hold on, you-you knew?"
353,"""Of course I knew! What did you think? Your father is no James Bond. You should've heard some of his cover stories. """"I'm sleeping over at my accountant's,"""" I mean, what is that? Please!""","So then how could you I mean, how could you?!"
354,"Do you remember how your father used to be? Always yelling, always yelling nothing made him happy, nothing made him happy, not that wood shop, not those stupid little ships in the bottle, nothing. Now he's happy! I mean, it's nice, he has a hobby.","Ma, I don't mean to be disrespectful, but... what the hell are you talking about?! I mean, what about you?"
355,"Me? I'm fine. Look, honey, in an ideal world, there'd be no her, and your father would look like Sting. And I'll tell you something else. Ever since that poodle-stuffer came along, he's been so ashamed of himself that he's been more attentive, he's been more loving... I mean, it's like every day's our anniversary.",I'm...happy...for you?
356,"Well don't be, because now everything's screwed up. I just want it the way it was.","Ma, I'm sorry. I just did what I thought you'd want."
357,"I know you did, cookie. Oh, I know you did. So tell me. Did you see her?",Yeah. You're ten times prettier than she is.
358,That's sweet. Could I take her?,With this ring? No contest.
359,"So you talked to your dad, huh.","Yeah. He's gonna keep cheating on my ma like she wanted, she's gonna keep pretending she doesn't know even though she does, and my little sister Tina can't see her husband any more because he got a restraining order...which has nothing to do with anything except that I found out today."
360,"So Joey, you okay?","Yeah, I guess. It's just parents, after a certain point, you gotta let go. Even if you know better, you've gotta let them make their own mistakes."
361,"Hey, Joey. What's going on?",Clear the tracks for the boobie payback express. Next stop: Rachel Green.
362,Joey!! What the hell were you doing?!,Sorry. Wrong boobies.
363,"Oh! ...Hello, dear.","I'm tellin' you Ross, she wants you."
364,She lent me an egg once.,You're in!
365,"Come on, Ross, you gotta get back in the game here, ok? The Rachel thing's not happening, your ex-wife is a lesbianI don't think we need a third...","Excuse me, could we get an egg over here, still in the shell? Thanks."
366,An egg?,"""Yeah, you're gonna go up to her and say, """"Here's your egg back, I'm returning your egg."""""""
367,,Think it'll work?
368,"Well, what are you guys doing tomorrow night?","Actually, tomorrow night kinda depends on how tonight goes."
369,"Oh, uh, listen, about tonight...","No, no, no, don't you dare bail on me. The only reason she's goin' out with me is because I said I could bring a friend for her friend."
370,"Yes, I know, but her friend sounds like such a...","Pathetic mess? I know, butcome on, man, she's needy, she's vulnerable. I'm thinkin', cha-ching! Thanks. Look, you have not been out with a woman since Janice. You're doin' this."
371,"Yes! Way to go, man! Still got the egg, huh?",How do I look?
372,"Ok, I'm makin' a break for it, I'm goin' out the window.","No, no, no, don't! I've been waitin' for like, forever to go out with Lorraine. Just calm down."
373,Calm down? Calm down? You set me up with the woman that I've dumped twice in the last five months!,"Can you stop yellin'? You're makin' me nervous, and I can't go when I'm nervous."
374,"You know, ever since I was little, I've been able to pick up quarters with my toes.","Good for you. Uh, quarters or rolls of quarters?"
375,,We can't do that.
376,What? What can't you do?,"Uh, can I talk to you for a second, over there?"
377,,"Uh, we might be leaving now."
378,"""Tell me it's """"you and me"""" we.""","She said she wants to slather my body with stuff and then lick it off. I'm not even sure what slathering is, but I definitely want to be a part of it."
379,"Ok, you can not do this to me.","You're right, I'm sorry. You're right."
380,"Uh, can we have three chocolate mousses to go please?","I'm outta here. Here's my credit card. Dinner's on me. I'm sorry, Chandler."
381,"Oh, Joey, look who it is.",Whoa.
382,How can I dump this woman on Valentine's day?,I don't know. You dumped her on New Year's.
383,,"If you don't do it, I will."
384,Coffee.,Thank you.
385,Oh. That WENUS.,So what're you going to do?
386,"Hey guys, does anybody know a good date place in the neighborhood?","How about Tony's? If you can finish a 32-ounce steak, it's free."
387,And he's not speaking metaphorically.,"So.... back to your place...you thinking, maybe... huh-huh?"
388,"Well, I don't know.... huh-huh.... but I'm hoping huh-huh.","I'm telling you, that monkey is a chick magnet! She's going to take one look at his furry, cute little face and it'll seal the deal."
389,"OK, try this salmon mousse.",Mmmm. Good.
390,Is it better than the other salmon mousse?,It's creamier.
391,"Yeah, well, is that better?","I don't know. We're talking about whipped fish, Monica. I'm just happy I'm keeping it down, y'know?"
392,Waitressing?,Uh-oh.
393,Um... uh.... vulva.,Vulva?
394,"Alright, I panicked, alright? She took me by surprise. You know, but it wasn't a total loss. I mean, we ended up cuddling.",Whoaa!! You cuddled? How many times??
395,"Shut up! It was nice. I just... I don't think I'm the dirty-talking kind of guy, you know?",What's the big deal? You just say what you want to do to her. Or what you want her to do to you. Or what you think other people might be doing to each other. I'll tell you what. Just try something on me.
396,Please be kidding.,"Why not? Come on! Just, just close your eyes and tell me what you'd like to be doing right now."
397,OK. I'm in my apartment...,....yeah... what else?
398,"That's it. I'm in my apartment, you're not there, we're not having this conversation.","Alright, look, I'll start, OK?"
399,"Joey, please.","Come on. Come on. Alright, ready, look! Oh... Ross.... you get me so hot. I want your lips on me now."
400,Wow.,"Alright, now you say something."
401,I... ahem... I really don't think so.,"Come on! You like this woman, right?"
402,Yeah.,"You want to see her again, right?"
403,Sure.,"Well if you can't talk dirty to me, how're you going to talk dirty to her? Now tell me you want to caress my butt!"
404,"OK, turn around. I just don't want you staring at me when I'm doing this.","Alright, alright. I'm around. Go ahead."
405,"Ahem... I want.... OK, I want to... feel your... hot, soft skin with my lips.",There you go! Keep going. Keep going!
406,....and....,Say it... say it!
407,Funny story!,You're not going to believe this!
408,It's OK. It's OK. I was always rooting for you two kids to get together.,"Hey Chandler, while you were sleeping that guy from your old job called again."
409,Again?,"And again, and again, and again... Hello? And again."
410,Hey!,What a tool!
411,,"So, er... how did it go with Celia?"
412,"Oh, I was unbelievable.","All right, Ross!"
413,"I was the James Michener of dirty talk. It was the most elaborate filth you have ever heard. I mean, there were characters, plot lines, themes, a motif... at one point there were villagers.",Whoa! And the... huh-huh?
414,"Well, ahem... you know, by the time we'd finished with all the dirty talk, it was kinda late... and we were both kind of exhausted, so uh...",You cuddled.
415,"Maybe, but shouldn't we wait for Chandler?","Yeah, where the hell is he?"
416,,"Theres the waitress. Excuse me, Miss. Hello, Miss?"
417,"""Yeah, um, I was over there, then you said, """"Excuse me, hello Miss,"""" so now Im here.""","No, no... how come you are working here?"
418,"All right, now look at her and tell me she doesnt look exactly like her sister.",Im sayin I see a difference.
419,Theyre twins!,I dont care. Phoebes Phoebe. Ursulas... hot!
420,"You know that thing, when you and I talk to each other about things?",Yeah.
421,Hey guys! Hey!,"Hey Pheebs, guess who we saw today."
422,"Ooh, ooh, fun! Okay... um, Liam Neeson.",Nope.
423,Morly Safer.,Nope.
424,"Hmmm? Yeah. So, um, is she fat?",Not from where I was standin.
425,"Hey, where you been?","I went back to Riffs. I think Ursula likes me. All I ordered was coffee, she brought me a tuna meltt and four plates of curly fries."
426,Score.,She is so hot!
427,"Yeah, listen. Okay, before you do anything Joey-like, you might wanna run it by err...",Pheebs?
428,Yeah?,You think it would be okay if I asked out your sister?
429,Why? Why would you wanna... do that? Why?,"So that if we went out on a date, shed be there."
430,"Well, I mean, I'm not my sisters, you know, whatever, and um... I mean, its true, we were one egg, once, but err, you know, weve grown apart, so, um... I dont know, why not? Okay.","Cool, thanks."
431,,Hey.
432,,"Phoebe, could you do me a favour? Could you try this on? I just wanna make sure it fits."
433,"Ooh, my first birthday present... ..oh, this is really...","Oh, no no no. Its for Ursula. I just figured, you know, size-wise."
434,Are you seein her again tonight?,Yep. Ice Capades.
435,"Wow, this is serious. Ive never known you to pay money for any kind of capade.","I dont know. I like her, you know. Shes different. Theres uh, somethin about her."
436,,"Hey, Phoebe, I asked you, and you said it was okay."
437,"Alright, well, maybe now its not okay.",Okay... Well maybe now I'm not okay with it not being okay.
438,Wherere you going?,Out.
439,With?,Yes.
440,"Have you two, you know... like... you know... you know... yet?","Well, not that its any of your business, but, no, we havent, okay?"
441,,"You meant sex, right?"
442,"No, no, with him. I'm on this field, and they, they hike me the baby... and I, I know I've gotta do something 'cause the Tampa Bay defence is comin' right at me.",Tampa Bay's got a terrible team.
443,What are you crazy? That's a baby!,He should take the sack?
444,"Hey, you're gonna be fine. You're one of the most caring, most responsible men in North America. You're gonna make a great dad.","Yeah, Ross. You and the baby just need better blocking."
445,,"Oh, have either one of you guys ever been to the Rainbow Room? Is it real expensive?"
446,"Well, only if you order stuff.",I'm takin' Ursula tonight. It's her birthday.
